Timestamp;Total_Angles_x;Total_Angles_y;Head_Rotation_x;Head_Rotation_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
7.45842;-1.839249;-13.43028;-1.262482;-2.818955;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.47);
7.49495;-1.839585;-13.42995;-1.263306;-2.819486;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.52260;-1.840332;-13.4305;-1.260925;-2.820172;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.55174;-1.837751;-13.43124;-1.259399;-2.819858;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.58084;-1.836024;-13.43086;-1.260406;-2.820838;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.62268;-1.836947;-13.43191;-1.261261;-2.820692;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.65910;-1.838116;-13.43173;-1.258881;-2.820919;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.69557;-1.835987;-13.43195;-1.25705;-2.82141;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.72478;-1.834134;-13.43242;-1.259521;-2.821892;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.47);
7.76679;-1.836764;-13.43289;-1.259064;-2.82261;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.79614;-1.836284;-13.43361;-1.256714;-2.823131;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.82337;-1.833589;-13.43418;-1.259186;-2.822821;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.86811;-1.836025;-13.43386;-1.260437;-2.822917;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.90804;-1.837032;-13.43395;-1.261627;-2.823312;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.93645;-1.837964;-13.4344;-1.260254;-2.822986;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.96559;-1.836214;-13.43406;-1.262115;-2.823397;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.99488;-1.838059;-13.43456;-1.262238;-2.822048;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
8.02311;-1.838404;-13.43314;-1.262695;-2.822124;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
8.07271;-1.839088;-13.43321;-1.262543;-2.821975;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
8.11152;-1.838929;-13.43304;-1.264648;-2.8218;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
8.15129;-1.841553;-13.43278;-1.259338;-2.82384;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
8.17979;-1.836274;-13.43476;-1.26059;-2.826956;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.47);
8.20862;-1.838068;-13.43788;-1.259003;-2.829187;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.47);
