Timestamp;Main Camera (1)_position;Main Camera (1)_orientation;messages;
3.00746;Origin: (-0.041, 1.461, 0.539), Dir: (-0.315, -0.233, 0.920);Origin: (-0.104, 1.465, 0.537), Dir: (0.014, -0.178, 0.984);(-0.072, 1.463, 0.538);(0.042, -0.019, -0.029, 0.998);
3.04329;Origin: (-0.041, 1.461, 0.539), Dir: (-0.316, -0.232, 0.920);Origin: (-0.104, 1.465, 0.537), Dir: (0.014, -0.177, 0.984);(-0.072, 1.463, 0.538);(0.042, -0.019, -0.029, 0.998);
3.08176;Origin: (-0.041, 1.461, 0.539), Dir: (-0.317, -0.232, 0.920);Origin: (-0.104, 1.465, 0.537), Dir: (0.014, -0.178, 0.984);(-0.072, 1.463, 0.538);(0.042, -0.019, -0.029, 0.998);
3.14976;Origin: (-0.041, 1.461, 0.539), Dir: (-0.317, -0.232, 0.920);Origin: (-0.104, 1.465, 0.537), Dir: (0.014, -0.178, 0.984);(-0.072, 1.463, 0.538);(0.043, -0.019, -0.029, 0.998);
3.17309;Origin: (-0.041, 1.461, 0.539), Dir: (-0.317, -0.231, 0.920);Origin: (-0.104, 1.465, 0.537), Dir: (0.014, -0.178, 0.984);(-0.072, 1.463, 0.538);(0.043, -0.019, -0.029, 0.998);
3.20767;Origin: (-0.041, 1.461, 0.539), Dir: (-0.316, -0.231, 0.920);Origin: (-0.103, 1.465, 0.537), Dir: (0.014, -0.178, 0.984);(-0.072, 1.463, 0.538);(0.043, -0.019, -0.029, 0.998);
3.23698;Origin: (-0.041, 1.461, 0.539), Dir: (-0.246, -0.187, 0.951);Origin: (-0.103, 1.465, 0.537), Dir: (0.014, -0.178, 0.984);(-0.072, 1.463, 0.538);(0.043, -0.019, -0.029, 0.998);
3.31117;Origin: (-0.041, 1.461, 0.539), Dir: (-0.024, -0.065, 0.998);Origin: (-0.103, 1.465, 0.537), Dir: (0.014, -0.178, 0.984);(-0.072, 1.463, 0.538);(0.043, -0.019, -0.029, 0.998);
3.33675;Origin: (-0.041, 1.461, 0.539), Dir: (0.241, -0.015, 0.970);Origin: (-0.103, 1.465, 0.537), Dir: (-0.074, 0.013, 0.997);(-0.072, 1.463, 0.538);(0.043, -0.019, -0.029, 0.998);
3.36721;Origin: (-0.040, 1.461, 0.539), Dir: (0.334, -0.023, 0.942);Origin: (-0.103, 1.465, 0.537), Dir: (0.001, -0.027, 1.000);(-0.072, 1.463, 0.538);(0.043, -0.018, -0.029, 0.999);
3.39356;Origin: (-0.040, 1.461, 0.539), Dir: (0.378, -0.059, 0.924);Origin: (-0.103, 1.465, 0.537), Dir: (0.029, -0.066, 0.997);(-0.072, 1.463, 0.538);(0.043, -0.017, -0.029, 0.999);
3.46169;Origin: (-0.040, 1.461, 0.539), Dir: (0.412, -0.111, 0.904);Origin: (-0.103, 1.465, 0.537), Dir: (0.063, -0.143, 0.988);(-0.072, 1.463, 0.538);(0.043, -0.017, -0.028, 0.999);
3.48856;Origin: (-0.040, 1.461, 0.539), Dir: (0.458, -0.195, 0.867);Origin: (-0.103, 1.465, 0.537), Dir: (0.112, -0.228, 0.967);(-0.072, 1.463, 0.538);(0.043, -0.016, -0.028, 0.999);
3.52442;Origin: (-0.040, 1.461, 0.539), Dir: (0.483, -0.223, 0.847);Origin: (-0.103, 1.465, 0.537), Dir: (0.144, -0.257, 0.956);(-0.071, 1.463, 0.538);(0.044, -0.015, -0.028, 0.999);
3.55660;Origin: (-0.040, 1.461, 0.539), Dir: (0.483, -0.225, 0.846);Origin: (-0.103, 1.465, 0.537), Dir: (0.157, -0.260, 0.953);(-0.071, 1.463, 0.538);(0.044, -0.015, -0.028, 0.999);
3.62601;Origin: (-0.040, 1.461, 0.539), Dir: (0.481, -0.229, 0.846);Origin: (-0.103, 1.465, 0.537), Dir: (0.171, -0.260, 0.950);(-0.071, 1.463, 0.538);(0.044, -0.015, -0.028, 0.999);
3.64938;Origin: (-0.040, 1.461, 0.539), Dir: (0.481, -0.231, 0.845);Origin: (-0.103, 1.465, 0.537), Dir: (0.176, -0.259, 0.950);(-0.071, 1.463, 0.538);(0.044, -0.016, -0.029, 0.999);
3.68259;Origin: (-0.040, 1.461, 0.539), Dir: (0.481, -0.233, 0.845);Origin: (-0.103, 1.465, 0.537), Dir: (0.176, -0.259, 0.950);(-0.071, 1.463, 0.538);(0.043, -0.016, -0.029, 0.999);
3.72351;Origin: (-0.040, 1.461, 0.539), Dir: (0.481, -0.234, 0.845);Origin: (-0.103, 1.465, 0.537), Dir: (0.177, -0.258, 0.950);(-0.071, 1.463, 0.538);(0.044, -0.016, -0.029, 0.999);
3.78334;Origin: (-0.040, 1.461, 0.539), Dir: (0.481, -0.235, 0.844);Origin: (-0.103, 1.465, 0.537), Dir: (0.177, -0.257, 0.950);(-0.071, 1.463, 0.538);(0.044, -0.016, -0.029, 0.999);
3.80887;Origin: (-0.040, 1.461, 0.539), Dir: (0.481, -0.237, 0.844);Origin: (-0.103, 1.465, 0.537), Dir: (0.179, -0.256, 0.950);(-0.071, 1.463, 0.538);(0.044, -0.015, -0.029, 0.999);
3.83850;Origin: (-0.040, 1.461, 0.539), Dir: (0.480, -0.237, 0.844);Origin: (-0.103, 1.465, 0.537), Dir: (0.179, -0.256, 0.950);(-0.071, 1.463, 0.538);(0.044, -0.015, -0.029, 0.999);
3.86524;Origin: (-0.040, 1.461, 0.539), Dir: (0.370, -0.202, 0.907);Origin: (-0.103, 1.465, 0.537), Dir: (0.024, -0.181, 0.983);(-0.071, 1.463, 0.538);(0.044, -0.015, -0.029, 0.999);
3.89547;Origin: (-0.040, 1.461, 0.539), Dir: (0.257, -0.159, 0.953);Origin: (-0.103, 1.465, 0.537), Dir: (-0.074, -0.108, 0.991);(-0.071, 1.463, 0.538);(0.044, -0.016, -0.029, 0.999);
3.97255;Origin: (-0.040, 1.461, 0.539), Dir: (0.090, -0.119, 0.989);Origin: (-0.103, 1.465, 0.537), Dir: (-0.198, -0.025, 0.980);(-0.071, 1.463, 0.538);(0.044, -0.016, -0.029, 0.998);
3.99731;Origin: (-0.040, 1.461, 0.539), Dir: (-0.138, -0.126, 0.982);Origin: (-0.103, 1.465, 0.537), Dir: (0.185, -0.263, 0.947);(-0.072, 1.463, 0.538);(0.044, -0.018, -0.030, 0.998);
4.04166;Origin: (-0.041, 1.461, 0.539), Dir: (-0.280, -0.179, 0.943);Origin: (-0.104, 1.465, 0.537), Dir: (0.181, -0.263, 0.948);(-0.073, 1.463, 0.538);(0.043, -0.023, -0.031, 0.998);
4.10525;Origin: (-0.042, 1.461, 0.540), Dir: (-0.345, -0.270, 0.899);Origin: (-0.105, 1.465, 0.536), Dir: (0.182, -0.262, 0.948);(-0.074, 1.463, 0.538);(0.043, -0.028, -0.032, 0.998);
4.17122;Origin: (-0.044, 1.461, 0.540), Dir: (-0.370, -0.285, 0.884);Origin: (-0.106, 1.465, 0.536), Dir: (0.165, -0.262, 0.951);(-0.075, 1.463, 0.538);(0.043, -0.035, -0.033, 0.998);
4.19480;Origin: (-0.044, 1.461, 0.540), Dir: (-0.368, -0.334, 0.868);Origin: (-0.107, 1.465, 0.536), Dir: (0.150, -0.262, 0.953);(-0.076, 1.463, 0.538);(0.044, -0.037, -0.033, 0.998);
4.22149;Origin: (-0.044, 1.461, 0.540), Dir: (-0.370, -0.336, 0.866);Origin: (-0.107, 1.465, 0.536), Dir: (0.148, -0.263, 0.953);(-0.075, 1.463, 0.538);(0.045, -0.036, -0.033, 0.998);
4.25916;Origin: (-0.044, 1.461, 0.540), Dir: (-0.373, -0.336, 0.865);Origin: (-0.106, 1.465, 0.536), Dir: (0.146, -0.263, 0.954);(-0.075, 1.463, 0.538);(0.045, -0.034, -0.033, 0.998);
4.34044;Origin: (-0.043, 1.460, 0.541), Dir: (-0.371, -0.336, 0.866);Origin: (-0.106, 1.465, 0.537), Dir: (0.148, -0.263, 0.953);(-0.075, 1.463, 0.539);(0.045, -0.032, -0.032, 0.998);
4.36331;Origin: (-0.043, 1.460, 0.541), Dir: (-0.372, -0.336, 0.865);Origin: (-0.106, 1.465, 0.537), Dir: (0.148, -0.263, 0.953);(-0.075, 1.463, 0.539);(0.045, -0.033, -0.032, 0.998);
4.39521;Origin: (-0.043, 1.460, 0.541), Dir: (-0.357, -0.385, 0.851);Origin: (-0.106, 1.465, 0.537), Dir: (0.148, -0.264, 0.953);(-0.075, 1.463, 0.539);(0.046, -0.033, -0.032, 0.998);
4.42267;Origin: (-0.043, 1.460, 0.541), Dir: (-0.313, -0.444, 0.840);Origin: (-0.106, 1.465, 0.537), Dir: (0.148, -0.264, 0.953);(-0.075, 1.463, 0.539);(0.046, -0.033, -0.032, 0.998);
4.49544;Origin: (-0.043, 1.460, 0.541), Dir: (-0.293, -0.474, 0.831);Origin: (-0.106, 1.465, 0.537), Dir: (0.148, -0.264, 0.953);(-0.075, 1.462, 0.539);(0.046, -0.033, -0.032, 0.998);
4.51800;Origin: (-0.043, 1.460, 0.541), Dir: (-0.289, -0.484, 0.826);Origin: (-0.106, 1.465, 0.537), Dir: (0.148, -0.264, 0.953);(-0.075, 1.462, 0.539);(0.046, -0.032, -0.032, 0.998);
4.55070;Origin: (-0.043, 1.460, 0.541), Dir: (-0.289, -0.485, 0.826);Origin: (-0.106, 1.465, 0.537), Dir: (0.148, -0.264, 0.953);(-0.075, 1.462, 0.539);(0.046, -0.032, -0.032, 0.998);
4.57830;Origin: (-0.043, 1.460, 0.541), Dir: (-0.142, -0.562, 0.815);Origin: (-0.106, 1.464, 0.537), Dir: (0.148, -0.264, 0.953);(-0.075, 1.462, 0.539);(0.046, -0.032, -0.032, 0.998);
4.63949;Origin: (-0.043, 1.460, 0.541), Dir: (-0.058, -0.602, 0.797);Origin: (-0.106, 1.464, 0.537), Dir: (0.148, -0.264, 0.953);(-0.075, 1.462, 0.539);(0.046, -0.032, -0.032, 0.998);
4.66341;Origin: (-0.043, 1.460, 0.541), Dir: (-0.022, -0.632, 0.774);Origin: (-0.106, 1.464, 0.537), Dir: (0.050, -0.210, 0.976);(-0.075, 1.462, 0.539);(0.047, -0.032, -0.032, 0.998);
4.69562;Origin: (-0.043, 1.460, 0.541), Dir: (-0.021, -0.634, 0.773);Origin: (-0.106, 1.464, 0.537), Dir: (0.051, -0.211, 0.976);(-0.074, 1.462, 0.539);(0.048, -0.031, -0.032, 0.998);
4.72289;Origin: (-0.043, 1.460, 0.541), Dir: (-0.021, -0.635, 0.773);Origin: (-0.106, 1.464, 0.537), Dir: (-0.095, -0.384, 0.919);(-0.074, 1.462, 0.539);(0.048, -0.031, -0.032, 0.998);
4.76751;Origin: (-0.043, 1.460, 0.541), Dir: (-0.019, -0.635, 0.772);Origin: (-0.106, 1.464, 0.538), Dir: (-0.102, -0.400, 0.911);(-0.074, 1.462, 0.539);(0.048, -0.030, -0.032, 0.998);
4.82685;Origin: (-0.043, 1.460, 0.541), Dir: (-0.019, -0.636, 0.772);Origin: (-0.106, 1.464, 0.538), Dir: (-0.102, -0.400, 0.911);(-0.074, 1.462, 0.539);(0.049, -0.031, -0.032, 0.998);
4.85303;Origin: (-0.043, 1.460, 0.541), Dir: (-0.020, -0.636, 0.771);Origin: (-0.106, 1.464, 0.538), Dir: (-0.135, -0.426, 0.894);(-0.074, 1.462, 0.539);(0.049, -0.031, -0.032, 0.998);
4.88273;Origin: (-0.043, 1.460, 0.541), Dir: (-0.019, -0.636, 0.771);Origin: (-0.105, 1.464, 0.538), Dir: (-0.130, -0.422, 0.897);(-0.074, 1.462, 0.540);(0.049, -0.030, -0.032, 0.998);
