Timestamp;Total_Angles_x;Total_Angles_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
8.13299;37.63741;65.58481;(0.047, 1.663, 0.535);(-0.044, -0.008, 0.003, 0.999);Pattern 1 saccade;
8.16047;45.86672;64.89611;(0.047, 1.663, 0.535);(-0.044, -0.007, 0.003, 0.999);Pattern 1 saccade;
8.19324;46.64055;65.32098;(0.047, 1.663, 0.535);(-0.043, -0.007, 0.003, 0.999);Pattern 1 saccade;
8.23340;46.85072;65.64771;(0.047, 1.663, 0.535);(-0.043, -0.007, 0.003, 0.999);
8.26121;46.91954;65.71433;(0.047, 1.662, 0.535);(-0.043, -0.007, 0.003, 0.999);
8.28886;46.99357;65.89944;(0.047, 1.662, 0.535);(-0.043, -0.006, 0.003, 0.999);
8.31794;47.04529;65.99036;(0.047, 1.662, 0.535);(-0.043, -0.006, 0.003, 0.999);
8.34605;57.51908;60.78355;(0.047, 1.662, 0.535);(-0.044, -0.006, 0.003, 0.999);
8.37601;69.11209;52.48885;(0.047, 1.662, 0.536);(-0.043, -0.005, 0.003, 0.999);No pattern saccade;
8.40692;77.00563;42.40065;(0.047, 1.661, 0.535);(-0.043, -0.004, 0.003, 0.999);No pattern saccade;
8.44771;80.66586;34.21127;(0.048, 1.661, 0.535);(-0.043, -0.004, 0.003, 0.999);No pattern saccade;
8.47573;82.65636;16.74022;(0.048, 1.661, 0.535);(-0.043, -0.003, 0.003, 0.999);No pattern saccade;
8.50348;84.0722;14.88848;(0.048, 1.661, 0.535);(-0.043, -0.003, 0.003, 0.999);No pattern saccade;
8.53373;83.39191;8.630941;(0.048, 1.661, 0.535);(-0.043, -0.002, 0.003, 0.999);
8.57808;83.0426;7.624691;(0.048, 1.661, 0.535);(-0.043, -0.002, 0.003, 0.999);No pattern saccade;
8.60817;82.48933;6.919269;(0.049, 1.661, 0.535);(-0.042, -0.002, 0.002, 0.999);
8.64750;82.05431;6.311723;(0.049, 1.661, 0.535);(-0.042, -0.002, 0.002, 0.999);
8.67507;81.14766;5.770041;(0.049, 1.660, 0.536);(-0.042, -0.002, 0.002, 0.999);
8.70381;58.07243;1.224168;(0.049, 1.660, 0.535);(-0.042, -0.002, 0.002, 0.999);
8.73299;38.71801;5.76123;(0.050, 1.659, 0.535);(-0.042, -0.002, 0.002, 0.999);Pattern 1 saccade;
8.76138;12.78165;8.898323;(0.050, 1.659, 0.535);(-0.042, -0.002, 0.001, 0.999);Pattern 1 saccade;
8.80363;7.512789;9.598575;(0.050, 1.659, 0.535);(-0.042, -0.002, 0.001, 0.999);Pattern 1 saccade;
8.83520;-13.36854;8.158183;(0.049, 1.658, 0.535);(-0.042, -0.003, 0.001, 0.999);Pattern 1 saccade;
8.86156;-26.04901;3.639412;(0.049, 1.658, 0.535);(-0.042, -0.004, 0.000, 0.999);Pattern 1 saccade;
8.88927;-36.34126;-0.01800438;(0.049, 1.657, 0.534);(-0.042, -0.006, 0.000, 0.999);No pattern saccade;
8.91911;-44.0941;-2.551724;(0.049, 1.657, 0.534);(-0.042, -0.007, -0.001, 0.999);No pattern saccade;
8.94665;-50.69802;-5.094187;(0.049, 1.657, 0.534);(-0.042, -0.009, -0.002, 0.999);Pattern 1 saccade;
8.97567;-57.26175;-10.64551;(0.048, 1.657, 0.534);(-0.042, -0.011, -0.002, 0.999);No pattern saccade;
9.00424;-60.08514;-11.05043;(0.048, 1.657, 0.534);(-0.042, -0.012, -0.003, 0.999);No pattern saccade;
9.04989;-60.87086;-11.57942;(0.048, 1.657, 0.533);(-0.042, -0.013, -0.003, 0.999);
9.07521;-61.04299;-11.76479;(0.048, 1.657, 0.533);(-0.041, -0.013, -0.003, 0.999);
9.10498;-61.12819;-11.89339;(0.048, 1.657, 0.533);(-0.041, -0.013, -0.003, 0.999);
9.13237;-60.96988;-11.92579;(0.048, 1.657, 0.533);(-0.041, -0.013, -0.003, 0.999);
9.16090;-60.79055;-11.90807;(0.048, 1.657, 0.533);(-0.041, -0.012, -0.003, 0.999);
9.18969;-61.92684;-12.86491;(0.048, 1.657, 0.533);(-0.041, -0.013, -0.002, 0.999);
9.21880;-66.15789;-15.70285;(0.048, 1.657, 0.533);(-0.041, -0.013, -0.003, 0.999);
9.24789;-65.8466;-18.84399;(0.048, 1.657, 0.533);(-0.041, -0.013, -0.003, 0.999);No pattern saccade;
9.27434;-68.18362;-21.52581;(0.048, 1.657, 0.533);(-0.041, -0.014, -0.003, 0.999);
9.30349;-68.88959;-22.76461;(0.048, 1.657, 0.533);(-0.041, -0.014, -0.003, 0.999);
9.33173;-69.22685;-25.27867;(0.048, 1.657, 0.533);(-0.041, -0.015, -0.003, 0.999);
9.36210;-68.21783;-25.50787;(0.047, 1.657, 0.533);(-0.041, -0.015, -0.003, 0.999);
9.38883;-67.89357;-25.5846;(0.047, 1.657, 0.533);(-0.041, -0.014, -0.003, 0.999);
9.41880;-67.73138;-25.84893;(0.047, 1.657, 0.533);(-0.041, -0.014, -0.003, 0.999);
9.44532;-65.09824;-25.71992;(0.047, 1.657, 0.533);(-0.041, -0.014, -0.003, 0.999);
9.47740;-34.27827;-27.01673;(0.047, 1.657, 0.533);(-0.041, -0.014, -0.003, 0.999);
9.51993;-7.124064;-26.29918;(0.047, 1.657, 0.533);(-0.041, -0.014, -0.003, 0.999);Pattern 1 saccade;
9.54905;9.863063;-32.49546;(0.047, 1.657, 0.533);(-0.040, -0.014, -0.003, 0.999);Pattern 1 saccade;
9.59204;26.71956;-37.97516;(0.047, 1.657, 0.533);(-0.040, -0.014, -0.003, 0.999);No pattern saccade;
9.63348;26.60088;-38.91413;(0.047, 1.657, 0.533);(-0.039, -0.014, -0.003, 0.999);Pattern 1 saccade;
9.66224;26.01298;-40.84127;(0.047, 1.657, 0.533);(-0.038, -0.014, -0.003, 0.999);
9.69320;25.67074;-41.73212;(0.047, 1.657, 0.533);(-0.037, -0.014, -0.003, 0.999);
9.73394;25.59881;-42.10784;(0.047, 1.657, 0.534);(-0.037, -0.014, -0.003, 0.999);
9.77556;25.38152;-42.42518;(0.047, 1.657, 0.534);(-0.036, -0.013, -0.003, 0.999);
9.80476;25.13116;-42.51563;(0.047, 1.656, 0.534);(-0.036, -0.013, -0.003, 0.999);
9.83219;25.07245;-42.55539;(0.047, 1.656, 0.534);(-0.036, -0.013, -0.003, 0.999);
9.86158;25.0296;-42.59138;(0.047, 1.656, 0.534);(-0.036, -0.013, -0.003, 0.999);
9.88979;15.48244;-32.96249;(0.047, 1.656, 0.534);(-0.036, -0.013, -0.003, 0.999);
9.91936;-5.174167;-0.9145555;(0.047, 1.656, 0.534);(-0.036, -0.013, -0.003, 0.999);No pattern saccade;
9.94722;-9.471043;9.201481;(0.047, 1.656, 0.534);(-0.036, -0.013, -0.003, 0.999);No pattern saccade;
9.97593;-12.57325;18.42176;(0.047, 1.656, 0.534);(-0.036, -0.014, -0.003, 0.999);No pattern saccade;
10.00387;-16.12719;28.45952;(0.047, 1.657, 0.534);(-0.037, -0.014, -0.003, 0.999);No pattern saccade;
10.04637;-16.54878;37.24262;(0.048, 1.657, 0.534);(-0.037, -0.013, -0.003, 0.999);No pattern saccade;
10.07520;-15.75681;41.66091;(0.048, 1.657, 0.534);(-0.037, -0.013, -0.003, 0.999);No pattern saccade;
10.10562;-15.74937;42.52127;(0.048, 1.657, 0.534);(-0.037, -0.012, -0.003, 0.999);No pattern saccade;
10.13604;-15.63615;42.64998;(0.048, 1.657, 0.534);(-0.037, -0.012, -0.003, 0.999);
10.16105;-15.56902;42.70892;(0.048, 1.656, 0.534);(-0.037, -0.012, -0.003, 0.999);
10.19059;-15.41162;42.94998;(0.048, 1.656, 0.534);(-0.037, -0.012, -0.003, 0.999);
10.21834;-15.24967;42.8047;(0.048, 1.656, 0.535);(-0.037, -0.012, -0.003, 0.999);
10.24649;-15.22534;42.7826;(0.048, 1.656, 0.534);(-0.037, -0.012, -0.003, 0.999);
10.27617;-15.1998;42.7336;(0.048, 1.656, 0.534);(-0.037, -0.012, -0.003, 0.999);
10.30397;-15.27398;42.46105;(0.048, 1.656, 0.535);(-0.037, -0.012, -0.003, 0.999);
10.33223;-12.54295;34.47219;(0.048, 1.656, 0.534);(-0.037, -0.012, -0.003, 0.999);
10.36328;-8.278817;14.92227;(0.048, 1.656, 0.534);(-0.037, -0.012, -0.003, 0.999);No pattern saccade;
10.39040;-6.626171;4.221146;(0.048, 1.656, 0.534);(-0.037, -0.012, -0.003, 0.999);No pattern saccade;
10.41887;-1.029194;-8.211493;(0.048, 1.656, 0.534);(-0.037, -0.012, -0.004, 0.999);No pattern saccade;
10.44753;-0.9566583;-12.2028;(0.048, 1.656, 0.534);(-0.036, -0.013, -0.004, 0.999);No pattern saccade;
10.47582;-1.197479;-13.18579;(0.048, 1.656, 0.534);(-0.036, -0.013, -0.004, 0.999);
10.50472;-0.671551;-14.09687;(0.048, 1.656, 0.534);(-0.036, -0.013, -0.004, 0.999);
10.53799;-0.4659472;-14.58239;(0.048, 1.656, 0.534);(-0.035, -0.014, -0.004, 0.999);
10.57883;-0.4637355;-14.61402;(0.048, 1.656, 0.534);(-0.033, -0.014, -0.004, 0.999);
10.62024;-0.4796934;-15.42244;(0.048, 1.655, 0.533);(-0.028, -0.013, -0.004, 1.000);
10.64671;0.8530816;-36.19469;(0.048, 1.655, 0.533);(-0.019, -0.014, -0.002, 1.000);
10.67504;1.192539;-36.72299;(0.048, 1.655, 0.532);(-0.009, -0.016, 0.000, 1.000);No pattern saccade;
10.70517;1.333513;-36.83657;(0.048, 1.655, 0.532);(-0.002, 0.019, -0.001, -1.000);
10.73236;1.703885;-37.13749;(0.049, 1.655, 0.532);(-0.012, 0.025, -0.001, -1.000);
10.76186;3.0943;-37.94187;(0.049, 1.656, 0.533);(-0.019, 0.032, 0.002, -0.999);
10.79453;3.778227;-39.34298;(0.050, 1.656, 0.532);(-0.024, 0.038, 0.006, -0.999);
10.83260;4.426732;-39.7579;(0.051, 1.657, 0.531);(-0.028, 0.043, 0.011, -0.999);
10.86138;-0.4818837;-47.4276;(0.053, 1.657, 0.530);(-0.030, 0.045, 0.020, -0.998);
10.88940;-13.73637;-58.79333;(0.055, 1.657, 0.528);(-0.035, 0.042, 0.029, -0.998);No pattern saccade;
10.91859;-21.77921;-65.66093;(0.058, 1.657, 0.526);(-0.044, 0.034, 0.044, -0.997);No pattern saccade;
10.94724;-23.84694;-70.11239;(0.062, 1.656, 0.523);(-0.056, 0.026, 0.061, -0.996);No pattern saccade;
10.97523;-26.74795;-77.6144;(0.065, 1.655, 0.521);(-0.072, 0.018, 0.078, -0.994);No pattern saccade;
11.00648;-31.09243;-85.41997;(0.072, 1.655, 0.523);(-0.088, 0.011, 0.090, -0.992);No pattern saccade;
11.05991;-40.16632;-97.95229;(0.078, 1.654, 0.525);(-0.091, 0.010, 0.092, -0.991);No pattern saccade;
11.08946;-51.46954;-133.4355;(0.089, 1.649, 0.527);(-0.069, -0.004, 0.086, -0.994);No pattern saccade;
11.11885;-27.57072;-84.15718;(0.093, 1.646, 0.525);(-0.052, -0.018, 0.087, -0.995);No pattern saccade;
11.14537;-24.36168;-80.51189;(0.097, 1.645, 0.524);(-0.040, -0.033, 0.089, -0.995);No pattern saccade;
11.17377;-13.66182;-69.70819;(0.099, 1.645, 0.524);(-0.029, -0.046, 0.091, -0.994);No pattern saccade;
11.20526;-10.6899;-67.23028;(0.102, 1.645, 0.524);(-0.017, -0.057, 0.093, -0.994);No pattern saccade;
11.23424;-8.211337;-64.72496;(0.105, 1.645, 0.523);(-0.009, -0.064, 0.097, -0.993);
11.26002;-6.786324;-63.05944;(0.109, 1.646, 0.524);(-0.010, -0.065, 0.098, -0.993);
11.28961;-6.669501;-63.13234;(0.111, 1.647, 0.524);(-0.014, -0.062, 0.097, -0.993);
11.31728;-7.356438;-64.10423;(0.113, 1.647, 0.524);(-0.018, -0.058, 0.095, -0.994);
11.34612;-8.035507;-64.94626;(0.114, 1.647, 0.524);(-0.020, -0.054, 0.092, -0.994);
11.37620;-8.740575;-65.44849;(0.114, 1.647, 0.525);(-0.023, -0.049, 0.090, -0.994);
11.40243;-9.598763;-66.1498;(0.114, 1.647, 0.525);(-0.027, -0.045, 0.088, -0.995);
11.43194;-10.40066;-67.00517;(0.114, 1.646, 0.526);(-0.031, -0.040, 0.085, -0.995);
11.46075;-11.17857;-67.98582;(0.113, 1.646, 0.526);(-0.037, -0.036, 0.083, -0.995);
11.48842;-12.15919;-69.23631;(0.112, 1.646, 0.527);(-0.045, -0.030, 0.081, -0.995);
11.51774;-13.39034;-71.0425;(0.112, 1.645, 0.527);(-0.052, -0.024, 0.080, -0.995);
11.54568;-14.49284;-72.64474;(0.109, 1.645, 0.527);(-0.058, -0.019, 0.079, -0.995);
11.57590;-15.90617;-74.15902;(0.108, 1.644, 0.528);(-0.065, -0.012, 0.077, -0.995);
11.60265;-17.24332;-75.74787;(0.106, 1.644, 0.528);(-0.073, -0.004, 0.074, -0.995);
11.63353;-18.86831;-77.73763;(0.105, 1.645, 0.529);(-0.082, 0.005, 0.071, -0.994);
11.65900;-20.57577;-79.94795;(0.104, 1.644, 0.529);(-0.093, 0.013, 0.068, -0.993);
11.68891;-22.15051;-82.41618;(0.102, 1.644, 0.529);(-0.102, 0.020, 0.064, -0.993);
11.71760;-23.2768;-84.33812;(0.100, 1.642, 0.530);(-0.106, 0.024, 0.062, -0.992);
11.74690;-23.87454;-85.39212;(0.099, 1.641, 0.530);(-0.109, 0.026, 0.061, -0.992);
11.77447;-24.37851;-86.05843;(0.099, 1.640, 0.531);(-0.116, 0.029, 0.062, -0.991);
11.80476;-25.28368;-87.55138;(0.098, 1.640, 0.532);(-0.122, 0.032, 0.060, -0.990);
11.83329;-25.85976;-88.84618;(0.097, 1.640, 0.532);(-0.123, 0.033, 0.059, -0.990);
11.86143;-25.89141;-89.1068;(0.097, 1.640, 0.532);(-0.124, 0.031, 0.059, -0.990);
11.89017;-26.62635;-89.16117;(0.097, 1.640, 0.532);(-0.122, 0.027, 0.059, -0.990);
11.91930;-14.94311;-46.05275;(0.097, 1.640, 0.533);(-0.119, 0.025, 0.058, -0.991);
11.94599;-14.62636;-46.11219;(0.098, 1.641, 0.533);(-0.114, 0.024, 0.058, -0.991);No pattern saccade;
11.97696;-14.21799;-47.29166;(0.098, 1.642, 0.534);(-0.108, 0.023, 0.059, -0.992);
12.00368;-13.85802;-47.24516;(0.098, 1.643, 0.534);(-0.100, 0.024, 0.061, -0.993);
12.04665;-13.54324;-47.95266;(0.099, 1.644, 0.533);(-0.093, 0.025, 0.065, -0.993);
12.07685;-12.94592;-49.03214;(0.099, 1.646, 0.532);(-0.081, 0.028, 0.071, -0.994);
12.10386;-13.46016;-48.02386;(0.099, 1.647, 0.531);(-0.073, 0.029, 0.076, -0.994);
12.13424;-13.88098;-39.33128;(0.099, 1.648, 0.529);(-0.065, 0.030, 0.081, -0.994);
12.15997;-15.25853;-32.67645;(0.100, 1.650, 0.528);(-0.059, 0.031, 0.086, -0.994);No pattern saccade;
12.18901;-15.48463;-30.9538;(0.100, 1.652, 0.526);(-0.052, 0.030, 0.090, -0.994);No pattern saccade;
12.21823;-15.49705;-29.18974;(0.101, 1.653, 0.525);(-0.046, 0.029, 0.094, -0.994);
12.24603;-16.06072;-31.28568;(0.102, 1.654, 0.524);(-0.039, 0.027, 0.096, -0.994);
12.27490;-13.816;-40.0246;(0.103, 1.655, 0.523);(-0.033, 0.024, 0.098, -0.994);
12.30623;-13.33444;-40.45397;(0.105, 1.657, 0.522);(-0.029, 0.022, 0.097, -0.995);No pattern saccade;
12.33443;-13.08054;-40.36398;(0.106, 1.658, 0.521);(-0.026, 0.020, 0.094, -0.995);
12.36300;-13.30152;-39.90601;(0.107, 1.659, 0.520);(-0.024, 0.018, 0.090, -0.995);
12.38910;-9.563318;-28.43859;(0.108, 1.660, 0.519);(-0.022, 0.018, 0.088, -0.996);
12.41879;-9.808063;-28.41215;(0.108, 1.660, 0.519);(-0.021, 0.017, 0.085, -0.996);No pattern saccade;
12.44746;-9.748499;-28.31278;(0.109, 1.661, 0.518);(-0.019, 0.016, 0.083, -0.996);
12.47619;-9.962289;-28.53478;(0.110, 1.662, 0.518);(-0.015, 0.015, 0.080, -0.997);
12.52632;-10.09472;-28.65057;(0.111, 1.662, 0.518);(-0.012, 0.013, 0.077, -0.997);
12.57543;-10.09468;-28.58971;(0.112, 1.663, 0.517);(-0.008, 0.011, 0.073, -0.997);
12.60302;-10.59471;-27.37218;(0.113, 1.665, 0.516);(0.000, 0.006, 0.061, -0.998);
12.63273;-7.842427;-22.97046;(0.113, 1.665, 0.515);(-0.001, -0.007, -0.055, 0.998);
12.66126;-7.363089;-22.73533;(0.113, 1.666, 0.515);(-0.002, -0.008, -0.051, 0.999);No pattern saccade;
12.68966;-6.908689;-22.98262;(0.113, 1.667, 0.514);(-0.006, -0.010, -0.048, 0.999);
12.72214;-6.627413;-23.07358;(0.112, 1.667, 0.514);(-0.010, -0.013, -0.045, 0.999);
12.76022;-5.82396;-23.37739;(0.111, 1.669, 0.513);(-0.015, -0.015, -0.044, 0.999);
12.79127;-5.67169;-23.76165;(0.110, 1.670, 0.511);(-0.025, -0.020, -0.040, 0.999);
12.81839;-5.724328;-23.76211;(0.109, 1.671, 0.510);(-0.032, -0.022, -0.039, 0.998);
12.84649;-5.885761;-23.65823;(0.108, 1.672, 0.508);(-0.038, -0.023, -0.038, 0.998);
12.87603;-6.04947;-23.1472;(0.107, 1.674, 0.507);(-0.042, -0.023, -0.036, 0.998);
12.91770;-6.313479;-22.77987;(0.105, 1.674, 0.506);(-0.045, -0.023, -0.035, 0.998);
12.94893;-6.92205;-22.36687;(0.104, 1.675, 0.504);(-0.045, -0.023, -0.034, 0.998);
12.97585;-7.038618;-21.692;(0.103, 1.676, 0.504);(-0.044, -0.023, -0.033, 0.998);
13.01101;-7.053016;-20.93868;(0.102, 1.675, 0.504);(-0.043, -0.022, -0.033, 0.998);
13.06805;-7.044318;-20.91719;(0.101, 1.675, 0.504);(-0.042, -0.022, -0.034, 0.998);
13.11035;-6.981002;-20.59325;(0.100, 1.675, 0.504);(-0.040, -0.020, -0.035, 0.998);
13.15359;3.803434;-24.0364;(0.098, 1.675, 0.505);(-0.041, -0.020, -0.036, 0.998);
13.19603;5.123014;-26.95132;(0.097, 1.675, 0.506);(-0.043, -0.020, -0.036, 0.998);Pattern 1 saccade;
13.23947;5.338505;-27.13289;(0.097, 1.676, 0.506);(-0.043, -0.020, -0.036, 0.998);
13.28808;5.294126;-27.1935;(0.096, 1.676, 0.507);(-0.043, -0.019, -0.036, 0.998);
13.33366;5.262784;-27.3665;(0.096, 1.676, 0.507);(-0.042, -0.015, -0.036, 0.998);
13.36986;5.164035;-28.2672;(0.096, 1.675, 0.507);(-0.042, -0.010, -0.037, 0.998);
13.41958;13.24304;-30.86707;(0.096, 1.675, 0.507);(-0.042, -0.004, -0.037, 0.998);
13.45564;14.11177;-30.99275;(0.095, 1.675, 0.508);(-0.041, 0.000, -0.038, 0.998);Pattern 1 saccade;
13.49537;14.41582;-31.35177;(0.095, 1.675, 0.508);(-0.041, 0.002, -0.038, 0.998);
13.53850;15.3702;-31.81534;(0.095, 1.675, 0.508);(-0.041, 0.003, -0.038, 0.998);
13.58337;36.0873;-18.80274;(0.095, 1.675, 0.509);(-0.042, 0.005, -0.038, 0.998);
13.62908;48.91098;-11.75061;(0.095, 1.675, 0.509);(-0.043, 0.006, -0.038, 0.998);No pattern saccade;
13.68221;49.28286;-11.78784;(0.095, 1.675, 0.509);(-0.044, 0.007, -0.039, 0.998);No pattern saccade;
13.72679;49.24878;-11.69739;(0.095, 1.675, 0.509);(-0.044, 0.009, -0.039, 0.998);
13.76830;61.29451;-2.154221;(0.096, 1.675, 0.509);(-0.044, 0.009, -0.039, 0.998);
13.81656;68.31861;5.501636;(0.096, 1.675, 0.509);(-0.044, 0.010, -0.039, 0.998);No pattern saccade;
13.85838;68.3298;5.575661;(0.096, 1.675, 0.509);(-0.044, 0.011, -0.038, 0.998);No pattern saccade;
13.89569;68.37673;5.441988;(0.096, 1.675, 0.509);(-0.044, 0.012, -0.038, 0.998);
13.94975;50.81236;-2.893808;(0.096, 1.674, 0.509);(-0.045, 0.012, -0.038, 0.998);
13.99735;50.59047;-3.274085;(0.096, 1.674, 0.509);(-0.045, 0.011, -0.039, 0.998);No pattern saccade;
14.04465;50.66982;-3.318284;(0.096, 1.674, 0.509);(-0.044, 0.010, -0.040, 0.998);
14.09925;50.47769;-3.536658;(0.096, 1.674, 0.509);(-0.044, 0.009, -0.040, 0.998);
14.14736;50.80728;-3.919497;(0.096, 1.674, 0.509);(-0.044, 0.007, -0.040, 0.998);
14.18244;45.52335;-5.937859;(0.096, 1.674, 0.509);(-0.045, 0.006, -0.039, 0.998);
14.22555;32.65891;-9.848778;(0.096, 1.674, 0.509);(-0.045, 0.006, -0.038, 0.998);No pattern saccade;
14.27374;32.47165;-9.733785;(0.096, 1.674, 0.509);(-0.045, 0.005, -0.038, 0.998);Pattern 1 saccade;
14.31347;32.35777;-9.548352;(0.096, 1.674, 0.509);(-0.045, 0.005, -0.038, 0.998);
14.35360;32.34798;-9.456718;(0.095, 1.674, 0.509);(-0.044, 0.005, -0.038, 0.998);
14.39832;18.22058;-16.64106;(0.095, 1.674, 0.509);(-0.043, 0.005, -0.038, 0.998);
14.44383;7.238769;-24.58299;(0.095, 1.673, 0.510);(-0.042, 0.004, -0.038, 0.998);No pattern saccade;
14.48353;-2.199066;-28.005;(0.094, 1.673, 0.510);(-0.041, 0.003, -0.038, 0.998);No pattern saccade;
14.52902;-2.422263;-28.2091;(0.094, 1.673, 0.510);(-0.040, 0.001, -0.037, 0.999);No pattern saccade;
14.57742;-2.887753;-28.52051;(0.094, 1.673, 0.511);(-0.038, 0.000, -0.037, 0.999);
14.62450;-3.010797;-28.63595;(0.094, 1.672, 0.511);(-0.037, -0.001, -0.038, 0.999);
14.67573;-3.141867;-28.92581;(0.093, 1.672, 0.512);(-0.036, -0.003, -0.038, 0.999);
14.70922;-3.310982;-29.37199;(0.093, 1.672, 0.512);(-0.036, -0.004, -0.037, 0.999);
14.75678;-15.10865;-32.18407;(0.093, 1.672, 0.512);(-0.036, -0.005, -0.037, 0.999);
14.79534;-15.41239;-32.28654;(0.093, 1.672, 0.513);(-0.036, -0.006, -0.036, 0.999);Pattern 1 saccade;
14.83870;-15.62938;-32.36211;(0.092, 1.672, 0.513);(-0.035, -0.007, -0.036, 0.999);
14.88398;-15.78902;-32.439;(0.092, 1.672, 0.513);(-0.034, -0.008, -0.035, 0.999);
14.92533;-15.82414;-32.57795;(0.091, 1.672, 0.514);(-0.034, -0.009, -0.035, 0.999);
14.97150;-15.80349;-32.79855;(0.091, 1.672, 0.514);(-0.033, -0.012, -0.034, 0.999);
15.02549;-23.87455;-34.6115;(0.090, 1.672, 0.514);(-0.033, -0.014, -0.031, 0.999);
15.08108;-31.06427;-33.42056;(0.089, 1.671, 0.515);(-0.032, -0.019, -0.030, 0.999);Pattern 1 saccade;
15.12386;-30.77964;-33.74881;(0.088, 1.671, 0.515);(-0.031, -0.022, -0.028, 0.999);Pattern 1 saccade;
15.16759;-31.55859;-33.9818;(0.087, 1.671, 0.515);(-0.031, -0.023, -0.027, 0.999);
15.21353;-32.15676;-34.20868;(0.086, 1.671, 0.515);(-0.031, -0.023, -0.027, 0.999);
15.25398;-32.83709;-34.14635;(0.086, 1.671, 0.515);(-0.030, -0.023, -0.026, 0.999);
15.30242;-33.23395;-34.18773;(0.085, 1.671, 0.515);(-0.030, -0.024, -0.026, 0.999);
15.34003;-33.51513;-34.27832;(0.085, 1.671, 0.515);(-0.030, -0.024, -0.025, 0.999);
15.38242;-33.66488;-34.49314;(0.084, 1.671, 0.515);(-0.030, -0.025, -0.025, 0.999);
15.42987;-33.70074;-34.56115;(0.084, 1.670, 0.515);(-0.030, -0.026, -0.025, 0.999);
15.46036;-33.35412;-34.97867;(0.083, 1.670, 0.515);(-0.029, -0.026, -0.024, 0.999);
15.49070;-33.17028;-35.70968;(0.083, 1.670, 0.515);(-0.029, -0.026, -0.024, 0.999);
15.51848;-33.65771;-36.31219;(0.083, 1.670, 0.515);(-0.029, -0.026, -0.024, 0.999);
15.54747;-33.87172;-36.542;(0.082, 1.670, 0.515);(-0.028, -0.026, -0.023, 0.999);
15.57643;-33.93437;-36.64511;(0.082, 1.670, 0.516);(-0.028, -0.025, -0.023, 0.999);
15.60429;-34.00979;-36.83173;(0.082, 1.670, 0.516);(-0.028, -0.025, -0.023, 0.999);
15.63194;-34.01546;-36.95448;(0.082, 1.670, 0.516);(-0.028, -0.024, -0.023, 0.999);
15.66079;-34.05787;-37.04994;(0.082, 1.670, 0.516);(-0.028, -0.024, -0.023, 0.999);
15.68892;-34.08023;-37.25092;(0.082, 1.670, 0.516);(-0.028, -0.024, -0.023, 0.999);
15.71965;-34.05716;-37.25554;(0.082, 1.670, 0.516);(-0.028, -0.024, -0.023, 0.999);
15.74649;-33.88796;-37.35335;(0.082, 1.670, 0.516);(-0.027, -0.024, -0.023, 0.999);
15.77577;-33.77113;-37.39391;(0.082, 1.670, 0.516);(-0.027, -0.024, -0.023, 0.999);
15.80308;-33.50249;-37.55179;(0.082, 1.670, 0.516);(-0.027, -0.024, -0.023, 0.999);
15.83250;-33.4037;-37.61362;(0.083, 1.670, 0.516);(-0.027, -0.023, -0.023, 0.999);
15.86047;-32.3911;-37.54408;(0.083, 1.670, 0.516);(-0.026, -0.022, -0.024, 0.999);
15.89095;-15.41492;-28.4054;(0.083, 1.670, 0.516);(-0.026, -0.021, -0.024, 0.999);
15.93429;-11.90904;-26.21519;(0.084, 1.670, 0.516);(-0.026, -0.019, -0.024, 0.999);No pattern saccade;
15.96812;-11.33549;-26.14611;(0.084, 1.670, 0.516);(-0.026, -0.017, -0.025, 0.999);
16.00884;-11.34648;-25.9395;(0.085, 1.670, 0.516);(-0.025, -0.013, -0.025, 0.999);
16.06832;-10.89144;-25.99792;(0.086, 1.670, 0.516);(-0.025, -0.010, -0.026, 0.999);
16.11274;1.594086;-25.00872;(0.087, 1.669, 0.517);(-0.023, -0.006, -0.028, 0.999);
16.15991;2.011073;-25.07377;(0.088, 1.669, 0.517);(-0.021, -0.003, -0.030, 0.999);Pattern 1 saccade;
16.20373;2.033797;-25.17713;(0.088, 1.669, 0.517);(-0.020, 0.000, -0.031, 0.999);
16.23473;2.312214;-25.31347;(0.090, 1.669, 0.518);(-0.020, 0.005, -0.033, 0.999);
16.26134;2.965125;-25.50732;(0.090, 1.669, 0.518);(-0.020, 0.008, -0.033, 0.999);
16.28938;2.99294;-25.68411;(0.091, 1.669, 0.518);(-0.020, 0.010, -0.033, 0.999);
16.32194;2.977399;-25.72453;(0.092, 1.669, 0.518);(-0.020, 0.013, -0.034, 0.999);
16.36096;3.01932;-25.75253;(0.092, 1.669, 0.519);(-0.020, 0.016, -0.034, 0.999);
16.38988;3.280423;-26.01844;(0.093, 1.669, 0.519);(-0.020, 0.020, -0.034, 0.999);
16.41801;4.054752;-26.13395;(0.093, 1.669, 0.519);(-0.020, 0.021, -0.034, 0.999);
16.44658;4.196468;-26.37656;(0.093, 1.669, 0.519);(-0.019, 0.022, -0.035, 0.999);
16.47552;4.384919;-26.61832;(0.094, 1.669, 0.519);(-0.019, 0.023, -0.035, 0.999);
16.50289;4.488273;-26.82133;(0.094, 1.669, 0.519);(-0.018, 0.022, -0.036, 0.999);
16.53322;4.952982;-26.63457;(0.094, 1.668, 0.519);(-0.018, 0.022, -0.036, 0.999);
16.56312;6.706252;-24.87218;(0.094, 1.668, 0.519);(-0.018, 0.021, -0.036, 0.999);
