2.36218;Origin: (-0.085, 1.466, 0.538), Dir: (0.306, -0.261, 0.916);Origin: (-0.146, 1.463, 0.522), Dir: (0.008, -0.321, 0.947);(-0.115, 1.465, 0.530);(-0.033, 0.124, -0.031, -0.991);
2.39263;Origin: (-0.082, 1.466, 0.538), Dir: (0.313, -0.258, 0.914);Origin: (-0.144, 1.463, 0.524), Dir: (0.019, -0.331, 0.944);(-0.113, 1.465, 0.531);(-0.034, 0.115, -0.031, -0.992);
2.42038;Origin: (-0.080, 1.466, 0.538), Dir: (0.319, -0.252, 0.914);Origin: (-0.142, 1.463, 0.525), Dir: (0.024, -0.336, 0.942);(-0.111, 1.465, 0.532);(-0.034, 0.107, -0.030, -0.993);
2.44963;Origin: (-0.079, 1.467, 0.538), Dir: (0.334, -0.245, 0.910);Origin: (-0.140, 1.463, 0.525), Dir: (0.035, -0.325, 0.945);(-0.110, 1.465, 0.532);(-0.033, 0.100, -0.031, -0.994);
2.47623;Origin: (-0.077, 1.467, 0.538), Dir: (0.337, -0.242, 0.910);Origin: (-0.139, 1.463, 0.526), Dir: (0.038, -0.327, 0.944);(-0.108, 1.465, 0.532);(-0.032, 0.095, -0.031, -0.994);
2.50468;Origin: (-0.076, 1.467, 0.538), Dir: (0.339, -0.241, 0.910);Origin: (-0.138, 1.463, 0.526), Dir: (0.040, -0.326, 0.944);(-0.107, 1.465, 0.532);(-0.033, 0.091, -0.031, -0.995);
2.53261;Origin: (-0.076, 1.467, 0.538), Dir: (0.341, -0.238, 0.909);Origin: (-0.138, 1.463, 0.527), Dir: (0.045, -0.330, 0.943);(-0.107, 1.465, 0.532);(-0.034, 0.089, -0.030, -0.995);
2.56261;Origin: (-0.076, 1.466, 0.538), Dir: (0.344, -0.236, 0.909);Origin: (-0.137, 1.463, 0.527), Dir: (0.051, -0.333, 0.941);(-0.107, 1.465, 0.533);(-0.035, 0.089, -0.030, -0.995);
2.58964;Origin: (-0.076, 1.466, 0.539), Dir: (0.299, -0.237, 0.924);Origin: (-0.138, 1.463, 0.527), Dir: (0.003, -0.305, 0.952);(-0.107, 1.464, 0.533);(-0.036, 0.090, -0.029, -0.995);
2.61830;Origin: (-0.077, 1.466, 0.539), Dir: (0.146, -0.197, 0.970);Origin: (-0.138, 1.463, 0.527), Dir: (-0.144, -0.269, 0.952);(-0.108, 1.464, 0.533);(-0.037, 0.095, -0.028, -0.994);
2.64841;Origin: (-0.079, 1.465, 0.539), Dir: (-0.002, -0.137, 0.991);Origin: (-0.140, 1.462, 0.526), Dir: (-0.232, -0.213, 0.949);(-0.110, 1.464, 0.533);(-0.038, 0.105, -0.027, -0.993);
2.67750;Origin: (-0.082, 1.465, 0.540), Dir: (-0.129, -0.247, 0.960);Origin: (-0.143, 1.462, 0.525), Dir: (-0.385, -0.145, 0.911);(-0.113, 1.463, 0.532);(-0.039, 0.119, -0.025, -0.992);
2.70536;Origin: (-0.087, 1.464, 0.540), Dir: (-0.163, -0.235, 0.958);Origin: (-0.147, 1.462, 0.523), Dir: (-0.447, -0.130, 0.885);(-0.117, 1.463, 0.532);(-0.041, 0.140, -0.023, -0.989);
2.73375;Origin: (-0.092, 1.463, 0.541), Dir: (-0.208, -0.126, 0.970);Origin: (-0.152, 1.462, 0.520), Dir: (-0.538, -0.074, 0.840);(-0.122, 1.462, 0.530);(-0.043, 0.164, -0.019, -0.985);
2.76555;Origin: (-0.098, 1.462, 0.541), Dir: (-0.301, -0.186, 0.935);Origin: (-0.156, 1.462, 0.517), Dir: (-0.623, -0.071, 0.779);(-0.127, 1.462, 0.529);(-0.045, 0.189, -0.015, -0.981);
2.80611;Origin: (-0.106, 1.462, 0.540), Dir: (-0.333, -0.120, 0.935);Origin: (-0.162, 1.462, 0.512), Dir: (-0.708, -0.046, 0.705);(-0.134, 1.462, 0.526);(-0.048, 0.225, -0.009, -0.973);
2.83444;Origin: (-0.110, 1.462, 0.539), Dir: (-0.381, -0.136, 0.914);Origin: (-0.166, 1.462, 0.509), Dir: (-0.722, -0.097, 0.685);(-0.138, 1.462, 0.524);(-0.048, 0.246, -0.006, -0.968);
2.86337;Origin: (-0.114, 1.462, 0.538), Dir: (-0.411, -0.218, 0.885);Origin: (-0.168, 1.463, 0.506), Dir: (-0.749, -0.112, 0.653);(-0.141, 1.462, 0.522);(-0.048, 0.261, -0.004, -0.964);
2.89299;Origin: (-0.117, 1.461, 0.537), Dir: (-0.433, -0.197, 0.879);Origin: (-0.171, 1.463, 0.504), Dir: (-0.737, -0.136, 0.662);(-0.144, 1.462, 0.520);(-0.048, 0.274, -0.004, -0.960);
2.92287;Origin: (-0.120, 1.461, 0.537), Dir: (-0.491, -0.262, 0.831);Origin: (-0.173, 1.462, 0.503), Dir: (-0.734, -0.150, 0.662);(-0.146, 1.461, 0.520);(-0.050, 0.283, -0.004, -0.958);
2.94680;Origin: (-0.122, 1.460, 0.537), Dir: (-0.499, -0.288, 0.817);Origin: (-0.175, 1.461, 0.503), Dir: (-0.739, -0.224, 0.635);(-0.148, 1.460, 0.520);(-0.055, 0.288, -0.006, -0.956);
2.97605;Origin: (-0.124, 1.458, 0.539), Dir: (-0.489, -0.403, 0.773);Origin: (-0.176, 1.459, 0.504), Dir: (-0.703, -0.278, 0.654);(-0.150, 1.458, 0.521);(-0.062, 0.291, -0.009, -0.955);
3.00576;Origin: (-0.126, 1.455, 0.541), Dir: (-0.476, -0.505, 0.720);Origin: (-0.178, 1.456, 0.506), Dir: (-0.696, -0.305, 0.650);(-0.152, 1.455, 0.523);(-0.071, 0.290, -0.013, -0.954);
3.04255;Origin: (-0.127, 1.451, 0.544), Dir: (-0.418, -0.527, 0.740);Origin: (-0.180, 1.452, 0.509), Dir: (-0.652, -0.359, 0.668);(-0.154, 1.451, 0.527);(-0.085, 0.288, -0.018, -0.954);
3.07707;Origin: (-0.130, 1.442, 0.550), Dir: (-0.369, -0.604, 0.707);Origin: (-0.183, 1.443, 0.516), Dir: (-0.617, -0.416, 0.669);(-0.157, 1.443, 0.533);(-0.113, 0.282, -0.027, -0.952);
3.10364;Origin: (-0.131, 1.435, 0.555), Dir: (-0.316, -0.640, 0.701);Origin: (-0.185, 1.436, 0.522), Dir: (-0.570, -0.472, 0.673);(-0.158, 1.435, 0.539);(-0.135, 0.276, -0.033, -0.951);
