Timestamp;Total_Angles_x;Total_Angles_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
5.58075;-3.089234;-8.096227;(0.094, 1.674, 0.474);(-0.094, -0.003, -0.020, 0.995);
5.62487;-3.142537;-8.122522;(0.094, 1.674, 0.474);(-0.094, -0.003, -0.020, 0.995);
5.66772;-3.087122;-8.070695;(0.094, 1.674, 0.474);(-0.094, -0.002, -0.020, 0.995);
5.71084;-3.126385;-8.237816;(0.094, 1.674, 0.474);(-0.094, -0.002, -0.020, 0.995);
5.75238;-3.111829;-8.311445;(0.094, 1.674, 0.474);(-0.094, -0.002, -0.020, 0.995);
5.79604;-3.098202;-8.435509;(0.093, 1.674, 0.475);(-0.094, -0.003, -0.021, 0.995);
5.85036;-3.186685;-8.395041;(0.093, 1.674, 0.476);(-0.094, -0.002, -0.020, 0.995);
5.89583;-3.213515;-8.522628;(0.093, 1.675, 0.474);(-0.094, -0.003, -0.020, 0.995);
5.94535;-3.103378;-8.566109;(0.093, 1.675, 0.473);(-0.095, -0.004, -0.020, 0.995);
5.99716;-3.230673;-8.545967;(0.093, 1.675, 0.473);(-0.095, -0.003, -0.020, 0.995);
6.04402;-3.27169;-8.49916;(0.093, 1.675, 0.473);(-0.094, -0.003, -0.020, 0.995);
6.09606;-3.277793;-8.600698;(0.093, 1.675, 0.472);(-0.095, -0.002, -0.019, 0.995);
6.14508;-3.194243;-8.695924;(0.093, 1.675, 0.473);(-0.095, -0.002, -0.019, 0.995);
6.18070;-3.203117;-8.700998;(0.093, 1.675, 0.473);(-0.096, -0.002, -0.019, 0.995);
6.22585;-3.109222;-8.918745;(0.093, 1.675, 0.474);(-0.098, -0.001, -0.021, 0.995);
6.27478;-3.09814;-8.921374;(0.093, 1.675, 0.474);(-0.099, -0.002, -0.024, 0.995);
6.31084;-2.959062;-8.783753;(0.094, 1.675, 0.473);(-0.100, -0.003, -0.027, 0.995);
6.35319;-2.963654;-8.523386;(0.095, 1.675, 0.473);(-0.100, -0.002, -0.028, 0.995);
6.40067;-3.146971;-8.453513;(0.095, 1.675, 0.473);(-0.100, -0.001, -0.027, 0.995);
6.43866;-3.164389;-8.323323;(0.095, 1.675, 0.473);(-0.100, 0.000, -0.027, 0.995);
6.48073;-3.155771;-8.356108;(0.096, 1.675, 0.473);(-0.100, 0.001, -0.026, 0.995);
6.52794;-3.015915;-8.249592;(0.096, 1.675, 0.473);(-0.101, 0.001, -0.027, 0.995);
6.55912;-3.013587;-8.418891;(0.097, 1.676, 0.472);(-0.102, 0.002, -0.027, 0.994);
6.59150;-2.887623;-8.355316;(0.097, 1.676, 0.472);(-0.103, 0.001, -0.027, 0.994);
6.63179;-2.910446;-8.298346;(0.097, 1.676, 0.472);(-0.103, 0.001, -0.027, 0.994);
6.67415;-2.848964;-8.310817;(0.097, 1.676, 0.472);(-0.103, 0.000, -0.027, 0.994);
6.70498;-2.833448;-8.285068;(0.097, 1.676, 0.472);(-0.103, 0.000, -0.027, 0.994);
6.74672;-2.66737;-8.161858;(0.097, 1.676, 0.472);(-0.102, -0.001, -0.027, 0.994);
6.78967;-2.677117;-8.190995;(0.096, 1.675, 0.473);(-0.102, -0.001, -0.027, 0.994);
6.83229;-2.727298;-8.202435;(0.096, 1.675, 0.473);(-0.101, -0.001, -0.027, 0.995);
6.87444;-2.756577;-8.216069;(0.096, 1.675, 0.473);(-0.101, 0.000, -0.027, 0.995);
6.90478;-2.767004;-8.26524;(0.096, 1.675, 0.472);(-0.101, 0.000, -0.027, 0.995);
6.94590;-2.721352;-8.302238;(0.096, 1.675, 0.472);(-0.101, 0.000, -0.028, 0.995);
6.99104;-2.70959;-8.327019;(0.096, 1.675, 0.472);(-0.101, 0.000, -0.029, 0.994);
7.03119;-2.591231;-8.404753;(0.095, 1.675, 0.472);(-0.101, -0.001, -0.030, 0.994);
7.07448;-2.525795;-8.432469;(0.095, 1.675, 0.472);(-0.101, -0.002, -0.031, 0.994);
7.10262;-2.595017;-8.321322;(0.096, 1.675, 0.472);(-0.101, -0.002, -0.030, 0.994);
7.14623;-6.405398;-8.379645;(0.096, 1.675, 0.472);(-0.101, -0.002, -0.030, 0.994);
7.18857;-14.4251;-8.047854;(0.096, 1.675, 0.472);(-0.101, -0.002, -0.030, 0.994);
7.21727;-34.49404;-5.363973;(0.096, 1.675, 0.472);(-0.101, -0.003, -0.030, 0.994);Pattern 1 saccade;
7.26314;-46.4474;-7.111313;(0.095, 1.675, 0.472);(-0.102, -0.004, -0.031, 0.994);Pattern 1 saccade;
7.30326;-51.83574;-7.410872;(0.095, 1.675, 0.473);(-0.103, -0.006, -0.031, 0.994);Pattern 1 saccade;
7.34545;-55.99611;-6.509976;(0.095, 1.675, 0.473);(-0.103, -0.007, -0.030, 0.994);Pattern 1 saccade;
7.37556;-56.40984;-6.460464;(0.095, 1.675, 0.473);(-0.104, -0.009, -0.030, 0.994);
7.41734;-56.43876;-6.411895;(0.095, 1.675, 0.473);(-0.104, -0.009, -0.030, 0.994);
7.46009;-56.45448;-6.418499;(0.095, 1.675, 0.473);(-0.104, -0.009, -0.029, 0.994);
7.50518;-56.46635;-6.529941;(0.095, 1.675, 0.473);(-0.104, -0.009, -0.029, 0.994);
7.54580;-56.3064;-6.814138;(0.095, 1.675, 0.473);(-0.104, -0.008, -0.029, 0.994);
7.57581;-56.32024;-7.387908;(0.094, 1.675, 0.473);(-0.104, -0.008, -0.029, 0.994);
7.61796;-56.15986;-7.638904;(0.094, 1.675, 0.473);(-0.105, -0.009, -0.029, 0.994);
7.66028;-56.0872;-7.74497;(0.094, 1.675, 0.473);(-0.105, -0.009, -0.029, 0.994);
7.68932;-55.95373;-7.832253;(0.094, 1.675, 0.474);(-0.105, -0.009, -0.029, 0.994);
7.71680;-55.88169;-7.9144;(0.093, 1.675, 0.474);(-0.106, -0.009, -0.029, 0.994);
7.74554;-55.80427;-8.000323;(0.093, 1.674, 0.474);(-0.106, -0.009, -0.029, 0.994);
7.77375;-55.62344;-7.896375;(0.093, 1.674, 0.475);(-0.106, -0.009, -0.029, 0.994);
7.81660;-55.56531;-7.9272;(0.093, 1.674, 0.475);(-0.106, -0.010, -0.028, 0.994);
7.85867;-55.52475;-7.965681;(0.092, 1.674, 0.475);(-0.105, -0.010, -0.029, 0.994);
7.88811;-55.40747;-8.064562;(0.092, 1.674, 0.475);(-0.105, -0.010, -0.029, 0.994);
7.91655;-55.30376;-8.173045;(0.093, 1.675, 0.473);(-0.105, -0.010, -0.029, 0.994);
7.94555;-55.25858;-8.225426;(0.094, 1.675, 0.472);(-0.105, -0.011, -0.029, 0.994);
7.97354;-55.21026;-8.28879;(0.094, 1.676, 0.471);(-0.105, -0.011, -0.029, 0.994);
8.00393;-54.75449;-8.316603;(0.095, 1.676, 0.469);(-0.105, -0.011, -0.029, 0.994);
8.06002;-29.34969;-7.461388;(0.095, 1.677, 0.469);(-0.105, -0.011, -0.029, 0.994);
8.10360;9.297565;-4.494503;(0.096, 1.677, 0.468);(-0.105, -0.009, -0.028, 0.994);Pattern 1 saccade;
8.14969;33.83762;-9.388553;(0.096, 1.677, 0.467);(-0.104, -0.007, -0.029, 0.994);Pattern 1 saccade;
8.18952;45.34528;-12.65939;(0.096, 1.677, 0.468);(-0.104, -0.006, -0.029, 0.994);Pattern 1 saccade;
8.23156;45.67984;-12.97316;(0.094, 1.676, 0.471);(-0.104, -0.005, -0.029, 0.994);Pattern 1 saccade;
8.27452;45.59002;-12.99818;(0.093, 1.675, 0.474);(-0.105, -0.005, -0.029, 0.994);
8.31700;45.4262;-13.02296;(0.094, 1.675, 0.473);(-0.105, -0.005, -0.030, 0.994);
8.34866;54.60856;-15.21237;(0.094, 1.675, 0.473);(-0.105, -0.005, -0.030, 0.994);
8.38943;54.57653;-15.35698;(0.094, 1.675, 0.474);(-0.106, -0.005, -0.030, 0.994);Pattern 1 saccade;
8.43267;54.37818;-15.58869;(0.094, 1.675, 0.473);(-0.106, -0.005, -0.030, 0.994);
8.47486;54.3141;-15.6394;(0.095, 1.675, 0.473);(-0.106, -0.005, -0.030, 0.994);
8.51671;54.29545;-15.66517;(0.095, 1.675, 0.473);(-0.106, -0.005, -0.030, 0.994);
8.55931;54.29361;-15.70015;(0.095, 1.675, 0.473);(-0.106, -0.004, -0.031, 0.994);
8.59340;54.30562;-15.72228;(0.095, 1.675, 0.473);(-0.107, -0.004, -0.031, 0.994);
8.63229;54.23759;-15.74541;(0.095, 1.675, 0.473);(-0.107, -0.004, -0.031, 0.994);
8.67412;54.22486;-15.74641;(0.095, 1.675, 0.473);(-0.107, -0.004, -0.031, 0.994);
8.70236;54.1484;-15.79967;(0.095, 1.675, 0.474);(-0.108, -0.004, -0.031, 0.994);
8.74706;54.12788;-15.77252;(0.094, 1.675, 0.474);(-0.108, -0.004, -0.032, 0.994);
8.78896;54.11787;-15.75182;(0.094, 1.674, 0.475);(-0.108, -0.004, -0.032, 0.994);
8.81818;50.50818;-13.99149;(0.095, 1.675, 0.474);(-0.107, -0.004, -0.032, 0.994);
