Timestamp;Main Camera (1)_position;Main Camera (1)_orientation;messages;
2.48088;Origin: (0.267, 1.587, 0.338), Dir: (-0.047, 0.118, 0.992);Origin: (0.205, 1.586, 0.326), Dir: (-0.455, 0.357, 0.816);(0.236, 1.587, 0.332);(-0.195, -0.094, -0.004, 0.976);
2.51007;Origin: (0.267, 1.587, 0.338), Dir: (-0.050, 0.114, 0.992);Origin: (0.205, 1.585, 0.326), Dir: (-0.456, 0.356, 0.816);(0.236, 1.586, 0.332);(-0.193, -0.095, -0.008, 0.977);
2.54243;Origin: (0.267, 1.587, 0.339), Dir: (-0.052, 0.108, 0.993);Origin: (0.205, 1.586, 0.327), Dir: (-0.455, 0.354, 0.817);(0.236, 1.586, 0.333);(-0.190, -0.095, -0.013, 0.977);
2.60919;Origin: (0.266, 1.586, 0.341), Dir: (-0.054, 0.100, 0.994);Origin: (0.204, 1.586, 0.328), Dir: (-0.454, 0.352, 0.818);(0.235, 1.586, 0.334);(-0.187, -0.096, -0.018, 0.978);
2.63003;Origin: (0.266, 1.585, 0.342), Dir: (-0.055, 0.095, 0.994);Origin: (0.204, 1.585, 0.330), Dir: (-0.453, 0.351, 0.819);(0.235, 1.585, 0.336);(-0.184, -0.096, -0.023, 0.978);
2.66994;Origin: (0.265, 1.585, 0.343), Dir: (-0.057, 0.090, 0.994);Origin: (0.204, 1.586, 0.331), Dir: (-0.452, 0.353, 0.820);(0.234, 1.585, 0.337);(-0.182, -0.097, -0.030, 0.978);
2.69621;Origin: (0.265, 1.584, 0.345), Dir: (-0.057, 0.091, 0.994);Origin: (0.203, 1.586, 0.332), Dir: (-0.450, 0.355, 0.820);(0.234, 1.585, 0.339);(-0.183, -0.096, -0.031, 0.978);
2.76378;Origin: (0.264, 1.584, 0.345), Dir: (-0.056, 0.092, 0.994);Origin: (0.203, 1.586, 0.332), Dir: (-0.448, 0.356, 0.820);(0.233, 1.585, 0.338);(-0.183, -0.096, -0.033, 0.978);
2.78831;Origin: (0.265, 1.584, 0.343), Dir: (-0.056, 0.092, 0.994);Origin: (0.203, 1.586, 0.331), Dir: (-0.447, 0.358, 0.820);(0.234, 1.585, 0.337);(-0.183, -0.095, -0.034, 0.978);
2.81725;Origin: (0.263, 1.583, 0.342), Dir: (-0.056, 0.092, 0.994);Origin: (0.201, 1.585, 0.330), Dir: (-0.448, 0.358, 0.819);(0.232, 1.584, 0.336);(-0.183, -0.096, -0.035, 0.978);
